,Plot.ID,Date,Plot,Elevation,Warming,Removal,Treatment,Month,Day,Week,DOY,DOG,HHMMSS,Hour.EST,Hour,Minute,FTime,Mode,Smpls,EFFLUX,C2avg,Wavg,dc..dt,Vtot,RHcmbr,Tsoil_C,RHirga,Tsch_C,dC.dt,dW.dt,R.C.m,R.C.b,InsDpth,TBlk,CO2S,H2OS,Tair,Tleaf,PARo,Press,uc_21_mV,Status,PgSts,satVapTsch,eAir_2_kPa,Tsoil,VWC1,VWC2,VWC3,mean.VWC,NDVI.1,NDVI.2,NDVI.3,NDVI.4,mean.NDVI,Percent.Functional...Diversity,Phosphatase,PhosD,B.gluc,NAG,B.cell,B.xylo,a.gluc,LAP,Phenol,Perox,MicrobialBiomassC,MicrobialBiomassN,mean_temp_date_soil,min_temp_soil,max_temp_soil,mean_temp_date_air,min_temp_air,max_temp_air,Experiment_Length_yr,ug_NH4_week_cm2,ug_NO3_week_cm2,Inorganic_N,ug_TP_week_cm2,NP,pH,Soil_Percent_C,Soil_Percent_N,Soil_CN,Bare_Soil,Litter,Rock,Graminoid,Forb,Woody,Legume,Cryptogram,Total_Plant_Cover_All,Total_Plant_Cover_Vascular_Only,Graminoid_Relative,Forb_Relative,Woody_Relative,Legume_Relative,Cryptogram_Relative,Notes,Species_Richness,Total_Cover_Scaled,PCA_PlantComm_Loadings
11,10High,8/20/21,10,High,A,R,AR,8,20,33,232,45,17:03:34,17,15,3,2074.5,4,33,2.615281352,112,43.44378916,0.21534506,991,73.95081823,-177.7098267,90.17519887,28.81624476,0.912482798,0.019045901,0.004733598,-0.31481797,0,25.7693189,126.257014,43.5003891,25.36229261,28.81624476,0.047392292,67.35056814,1777.098267,110004,#DIV/0!,3.991847563,2.929776112,27.3,21,26,22,23,0.2489,0.2557,0.2178,0.2348,0.2393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.875,-5.5,27.5,6,2.577677144,1.542297701,4.119974845,NA,NA,4.29,6.7839,0.62176,10.9108016,30,20,5,17,16,5,0,0,38,38,44.7,42.1,13.2,0,0,NA,6,38,1.321527641
12,10High,9/9/21,10,High,A,R,AR,9,9,36,252,65,15:09:34,15,13,9,"1,744.00",4,33,1.587974158,115,17.00156784,0.130755488,991,22.48150366,-159.2976257,29.00029182,33.48796272,0.492223263,0.017738499,0.000338161,0.091866985,0,28.87742043,120.4666939,17.11193275,28.97516346,33.48796272,0.008885714,68.06435013,1592.976257,110004,#DIV/0!,5.197244332,1.164713383,49.1,9,6,9,8,0.524,0.4746,0.4053,0.4965,0.4751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6875,0.5,38.5,6,2.577677144,1.542297701,4.119974845,NA,NA,4.29,6.7839,0.62176,10.9108016,30,20,5,17,16,5,0,0,38,38,44.7,42.1,13.2,0,0,NA,6,38,1.321527641
13,10Low,8/13/21,10,Low,A,R,AR,8,13,32,225,79,15:02:21,15,13,2,455.5,4,81,0.638466622,120,16.61189842,0.052572024,991,15.94533495,-205.9689982,20.00271734,40.75938288,0.160922845,-0.000409288,-0.000611965,0.126007847,0,36.45842997,124.1141434,16.60412598,36.5226415,40.75938288,0.109584304,73.9961141,2059.689982,110004,#DIV/0!,7.730461164,1.228640795,57.1,11,8,9,9.333333333,0.2726,0.2797,0.2241,0.228,0.2511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4375,13.5,25,17.875,4.5,37.5,6,0.012512398,0.390977261,0.403489659,0.231804156,1.740648942,6.1,4.7008,0.42822,10.97753491,30,5,0,20,55,2,0,0,77,77,26,71.4,2.6,0,0,NA,10,77,1.670944899
14,10Low,8/18/21,10,Low,A,R,AR,8,18,33,230,84,19:47:25,19,17,47,7785.5,4,150,0.358577322,118,13.25626787,0.02952564,991,19.23337783,-32.08194885,21.17372894,32.96239217,0.089586044,0.000617648,-0.00099518,0.146956906,0,31.22287369,122.1412888,13.25521723,31.26435343,32.96239217,0.09774052,73.1508255,320.8194885,110004,#DIV/0!,5.04164165,0.969630142,33.6,11,15,12,12.66666667,0.5756,0.5059,0.5204,0.5645,0.5416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.78125,14,28,18.78125,4.5,43,6,0.012512398,0.390977261,0.403489659,0.231804156,1.740648942,6.1,4.7008,0.42822,10.97753491,30,5,0,20,55,2,0,0,77,77,26,71.4,2.6,0,0,NA,10,77,1.670944899
15,10Low,6/16/21,10,Low,A,R,AR,6,16,24,167,21,15:00:20,15,13,0,3391,4,56,1.053779923,114,18.29683113,0.086769364,991,11.69141105,-129.1761393,17.54547691,48.67123032,0.303978612,0.007514836,-0.000651204,0.161006646,0,40.79517873,119.2865473,18.34426689,40.81914775,48.67123032,0.087370716,74.05384572,1291.761393,110004,#DIV/0!,11.62024917,1.358463566,63.2,NA,NA,NA,NA,0.3093,0.1946,0.2794,0.3979,0.2953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.96875,14.5,32.5,23.28125,7,56.5,6,0.012512398,0.390977261,0.403489659,0.231804156,1.740648942,6.1,4.7008,0.42822,10.97753491,30,5,0,20,55,2,0,0,77,77,26,71.4,2.6,0,0,NA,10,77,1.670944899
16,10Low,6/23/21,10,Low,A,R,AR,6,23,25,174,28,15:05:43,15,13,5,499,4,84,0.730925164,154,16.00078106,0.060185159,991,10.10351644,-200.1152018,18.16748746,48.72520447,0.204269374,-0.006673547,-0.000821701,0.186727136,0,37.48502223,159.0708364,15.9666605,37.4810346,48.72520447,0.242862955,73.65603129,2001.152018,110004,#DIV/0!,11.6598441,1.176040729,56.7,14,8,15,12.33333333,0.3093,0.1946,0.2794,0.3979,0.2953,64.51612903,0.938650908,0.101779479,1.238269623,0.269457116,0.232561751,0.180978007,0.081204945,0.320427371,0,27.13418133,526.0323522,57.44073127,NA,NA,NA,17.9375,2,41,6,0.012512398,0.390977261,0.403489659,0.231804156,1.740648942,6.1,4.7008,0.42822,10.97753491,30,5,0,20,55,2,0,0,77,77,26,71.4,2.6,0,0,NA,10,77,1.670944899
17,10Low,9/10/21,10,Low,A,C,AC,9,10,36,253,107,15:55:53,15,13,55,"2,181.00",4,142,0.456209913,114,10.85880089,0.037564812,991,9.251176302,-152.0728149,10.73459148,43.04457474,0.09046898,0.003783153,-0.001687747,0.229967952,0,40.19920349,118.9571533,10.88605595,40.22830582,43.04457474,0.133274242,74.00141144,1520.728149,110004,4:Compute Final (1),8.707903198,0.805583477,58.2,11,12,NA,11.5,0.1901,0.1924,0.1905,0.2059,0.194725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8125,11.5,27.5,21.53125,3,55.5,6,0.012512398,0.390977261,0.403489659,0.231804156,1.740648942,6.1,4.7008,0.42822,10.97753491,30,5,0,20,55,2,0,0,77,77,26,71.4,2.6,0,0,NA,10,77,1.670944899
18,10Low,8/5/21,10,Low,A,R,AR,8,5,31,217,71,19:14:19,19,17,14,6643,4,103,0.621727584,132,14.11510436,0.051193713,991,11.64786275,-78.94951986,14.43992933,43.60550308,0.156219328,0.002508314,-0.00108994,0.195065801,0,39.40692647,137.1948903,14.128239,39.54160945,43.60550308,0.148094046,73.81451162,789.4951986,110004,#DIV/0!,8.978189008,1.042868098,46.9,13,17,16,15.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.875,12,29.5,19.34375,3.5,42.5,6,0.012512398,0.390977261,0.403489659,0.231804156,1.740648942,6.1,4.7008,0.42822,10.97753491,30,5,0,20,55,2,0,0,77,77,26,71.4,2.6,0,0,NA,10,77,1.670944899
19,10Low,7/15/21,10,Low,A,R,AR,7,15,28,196,50,14:14:42,14,12,14,5686,4,33,4.062364058,121,41.75954437,0.334499396,991,44.89524935,-71.23781331,63.40368017,38.92729187,1.216628512,0.14093749,0.001909389,0.103463307,0,32.65547816,141.4289907,42.5296224,32.64166387,38.92729187,0.189576947,73.82880147,712.3781331,110004,#DIV/0!,7.000150782,3.139909506,29.6,23,18,24,21.66666667,0.3662,0.3226,0.3524,0.2802,0.33035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.09375,9.5,28,20.5,3,54.5,6,0.012512398,0.390977261,0.403489659,0.231804156,1.740648942,6.1,4.7008,0.42822,10.97753491,30,5,0,20,55,2,0,0,77,77,26,71.4,2.6,0,0,NA,10,77,1.670944899
20,10Low,5/26/21,10,Low,A,R,AR,5,26,21,146,0,16:51:25,16,14,51,4397.5,4,33,2.131125085,122,7.34894673,0.175479116,991,24.03295223,-110.5013428,24.23233032,19.4011205,0.604011357,0.004855283,0.000913667,0.064011772,0,19.07673645,129.4142431,7.374105136,19.21771558,19.4011205,0.231041256,73.4420166,1105.013428,110004,#DIV/0!,2.263147312,0.541569114,25,33,38,26,32.33333333,NA,NA,NA,NA,NA,90.32258065,2.053985698,0.242513388,2.190059033,0.622404268,0.372270871,0.307557261,0.08943134,0.424595348,10.2721166,0,530.9965142,64.63088663,10.53125,7.5,13.5,8.71875,-0.5,20.5,6,0.012512398,0.390977261,0.403489659,0.231804156,1.740648942,6.1,4.7008,0.42822,10.97753491,30,5,0,20,55,2,0,0,77,77,26,71.4,2.6,0,0,NA,10,77,1.670944899
21,10Low,9/2/21,10,Low,A,C,AC,9,2,35,245,99,16:39:16,16,14,39,4982,4,34,1.368639515,112,42.67211533,0.112695239,991,55.02346073,-84.16710205,102.7780533,35.22365952,0.40338859,0.040828336,0.003164655,-0.241746128,0,24.01179123,116.3249741,42.84400177,24.36666107,35.22365952,0.297702551,73.44389343,841.6710205,110004,4:Compute Final (1),5.718707046,3.146630526,20.8,17,11,9,12.33333333,0.2634,0.2389,0.2318,0.1999,0.2335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.125,13,22.5,13.5,8,25,6,0.012512398,0.390977261,0.403489659,0.231804156,1.740648942,6.1,4.7008,0.42822,10.97753491,30,5,0,20,55,2,0,0,77,77,26,71.4,2.6,0,0,NA,10,77,1.670944899
22,10Low,6/9/21,10,Low,A,R,AR,6,9,23,160,14,13:50:33,13,11,50,1507,4,84,0.758944545,118,13.32883358,0.062492304,991,16.75177005,-164.3201782,20.12326527,35.72078514,0.202893876,0.0014986,-0.00075828,0.151969295,0,32.37777519,123.2115211,13.33220911,32.42408562,35.72078514,0.0866355,73.82247543,1643.201782,110004,#DIV/0!,5.879063154,0.984216631,52.5,11,7,7,8.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.46875,10,29,19.03125,0,48,6,0.012512398,0.390977261,0.403489659,0.231804156,1.740648942,6.1,4.7008,0.42822,10.97753491,30,5,0,20,55,2,0,0,77,77,26,71.4,2.6,0,0,NA,10,77,1.670944899
23,10Low,9/15/21,10,Low,A,C,AC,9,15,37,258,112,15:39:28,15,13,39,2194,4,91,0.571186393,119,12.57077885,0.047032098,991,10.14253669,-152.6967896,15.26377392,43.94648743,0.153607696,0.004538123,-0.001627787,0.240738794,0,36.17793274,123.2351913,12.59730816,36.29040909,43.94648743,0.204360411,73.48471832,1526.967896,110004,4:Compute Final (1),9.127003361,0.925709665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.28125,10,26.5,17.84375,0.5,52,6,0.012512398,0.390977261,0.403489659,0.231804156,1.740648942,6.1,4.7008,0.42822,10.97753491,30,5,0,20,55,2,0,0,77,77,26,71.4,2.6,0,0,NA,10,77,1.670944899
24,10Low,7/7/21,10,Low,A,R,AR,7,7,27,188,42,13:52:49,13,11,52,2958.5,4,49.33333333,1.200600498,120,27.16962941,0.098858727,991,19.8119245,-135.7203613,37.08198293,46.10300191,0.353716403,0.040596934,0.000286702,0.06445454,0,34.46866608,125.3266627,27.39732806,34.37196732,46.10300191,0.097746713,73.85724894,1357.203613,110004,#DIV/0!,10.20541946,2.023491621,35.9,4,5,7,5.333333333,0.3184,0.2962,0.3162,0.2875,0.304575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.625,9.5,31.5,6,0.012512398,0.390977261,0.403489659,0.231804156,1.740648942,6.1,4.7008,0.42822,10.97753491,30,5,0,20,55,2,0,0,77,77,26,71.4,2.6,0,0,NA,10,77,1.670944899
25,10Low,6/30/21,10,Low,A,R,AR,6,30,26,181,35,13:37:59,13,11,37,4152,4,33,2.172543167,394,8.406852245,0.178889525,991,7.577541661,-108.2017497,15.75473054,42.54286957,0.653943102,0.039942568,0.001019719,-0.222879638,0,29.12208939,402.6855265,8.626571973,29.06740888,42.54286957,0.256215667,73.79539744,1082.017497,110004,#DIV/0!,8.499607198,0.636601647,29.3,12,20,8,13.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.03125,11.5,25.5,19.15625,4.5,48.5,6,0.012512398,0.390977261,0.403489659,0.231804156,1.740648942,6.1,4.7008,0.42822,10.97753491,30,5,0,20,55,2,0,0,77,77,26,71.4,2.6,0,0,NA,10,77,1.670944899
26,10Low,8/26/21,10,Low,A,R,AR,8,26,34,238,92,15:44:05,15,13,44,437,4,39,1.213455791,118,17.03010273,0.099917246,991,18.22838021,-206.2044434,36.71422577,38.74287224,0.338893652,-0.002913078,-0.001431076,0.268784218,0,26.23989487,122.3815994,17.00911331,26.26653385,38.74287224,0.104408402,73.96898651,2062.044434,110004,#DIV/0!,6.945610133,1.25814712,38.5,7,11,12,10,0.2148,0.1984,0.2194,0.2036,0.20905,29.03225806,0.376940999,0.044880084,0.840252937,0.281807115,0.11880912,0.090615369,0.055028827,0.346557859,8.384819426,15.22553934,418.0767041,56.12027794,15.65625,12.5,19.5,11.34375,3.5,27.5,6,0.012512398,0.390977261,0.403489659,0.231804156,1.740648942,6.1,4.7008,0.42822,10.97753491,30,5,0,20,55,2,0,0,77,77,26,71.4,2.6,0,0,NA,10,77,1.670944899
27,10Low,7/31/21,10,Low,A,R,AR,7,31,30,212,66,15:41:14,15,13,41,5969,4,44,1.298301765,111,22.36467552,0.106903554,991,14.02531779,-81.92478638,20.76324749,49.05046082,0.360247225,0.006740665,-0.000454225,0.157322563,0,41.41680717,116.3590126,22.40304375,41.39774895,49.05046082,0.111069415,74.0099144,819.2478638,110004,#DIV/0!,11.86439994,1.65804708,54.2,22,16,18,18.66666667,0.2868,0.3004,0.2745,0.2444,0.276525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.25,14,26,16.40625,7,43,6,0.012512398,0.390977261,0.403489659,0.231804156,1.740648942,6.1,4.7008,0.42822,10.97753491,30,5,0,20,55,2,0,0,77,77,26,71.4,2.6,0,0,NA,10,77,1.670944899
28,10Low,6/3/21,10,Low,A,R,AR,6,3,22,154,8,18:17:05,18,16,17,5258.5,4,78,0.817839154,117,12.56753794,0.06734175,991,22.89641096,-90.76178385,19.5691433,29.00545311,0.222990314,-0.002425453,-0.000843204,0.165996626,0,31.50088692,122.1693242,12.55256303,31.73579407,29.00545311,0.062199668,73.32467397,907.6178385,110004,#DIV/0!,4.024917431,0.92041256,48.2,22,25,20,22.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.15625,7.5,23,17.0625,0,45.5,6,0.012512398,0.390977261,0.403489659,0.231804156,1.740648942,6.1,4.7008,0.42822,10.97753491,30,5,0,20,55,2,0,0,77,77,26,71.4,2.6,0,0,NA,10,77,1.670944899
29,11High,7/13/21,11,High,A,C,AC,7,13,28,194,7,14:59:40,14,12,59,6758,4,53,1.085807906,124,22.26575025,0.089406583,991,39.03077222,-40.34479777,54.86070506,28.36362966,0.310930878,0.00044112,-0.000870292,0.197322776,0,21.05609576,129.4166209,22.2682298,22.62259483,28.36362966,0.189563707,67.89378103,403.4479777,110004,#DIV/0!,3.878435994,1.511874636,48,6,7,9,7.333333333,0.5075,0.4417,0.3818,0.3818,0.401766667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.188528691,0.905495176,2.094023867,0.205810371,10.17453035,4.28,7.7721,0.64542,12.04192619,20,30,10,37,49,15,0,0,101,101,36.6,48.5,14.9,0,0,NA,11,101,1.240503068
30,11High,8/4/21,11,High,A,C,AC,8,4,31,216,29,15:44:17,15,13,44,2458.5,4,60.66666667,0.940649735,125,51.17615891,0.077454104,991,49.0161086,-151.5720662,85.53266652,39.18065516,0.304384063,0.003662821,-0.001499272,0.264863064,0,29.20208359,130.364268,51.1913325,29.18461037,39.18065516,0.239937086,67.91888428,1515.720662,110004,#DIV/0!,7.09662179,3.476858536,26,20,20,30,23.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.21875,1,31,6,1.188528691,0.905495176,2.094023867,0.205810371,10.17453035,4.28,7.7721,0.64542,12.04192619,20,30,10,37,49,15,0,0,101,101,36.6,48.5,14.9,0,0,NA,11,101,1.240503068
31,11High,8/12/21,11,High,A,C,AC,8,12,32,224,37,15:09:25,15,13,9,2291,4,40,1.292974926,108,25.29211044,0.106464936,991,19.61392808,-147.1266968,35.08237457,43.1625824,0.375713497,0.004994795,-0.001914472,0.313227922,0,32.47544861,113.2817307,25.30218887,32.45176697,43.1625824,0.293240964,67.9201355,1471.266968,110004,4:Compute Final (1),8.761773907,1.718528032,55.8,5,4,4,4.333333333,0.568,0.6076,0.534,0.6507,0.590075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.188528691,0.905495176,2.094023867,0.205810371,10.17453035,4.28,7.7721,0.64542,12.04192619,20,30,10,37,49,15,0,0,101,101,36.6,48.5,14.9,0,0,NA,11,101,1.240503068
